"date","mkt","smb","hml","rmw","cma","E","S","G","Total"
2014-01-02,0.005480426,-0.018910667,-0.016078281,-0.008829194,-0.000660655,-1.91383065120696e-06,-3.47961752157526e-05,0.000103923808246576,-5.86429453200488e-05
2014-01-03,0.026072368,-0.004520578,-0.005979666,0.007696304,-0.006445069,0.00018057018434584,0.000301654212601822,1.00926250381226e-05,0.000173287259455034
2014-01-06,-0.003476154,-0.003542771,0.011426984,0.003943732,0.003194038,-5.17794288908097e-05,9.43067706829024e-06,9.77346403068146e-05,-2.44879325351787e-05
2014-01-07,0.000352014,-0.001912815,0.000961769,-0.006108616,0.003429297,8.2903591044948e-05,-3.59153595107989e-06,-1.35133881769601e-05,-5.14479043042125e-06
2014-01-08,-0.00213106,-0.003317754,0.002747423,0.002833151,0.000507482,-2.64610953394428e-05,-1.4087844841e-05,4.18315081056777e-05,-6.10173421495824e-06
2014-01-09,0.023220901,-0.01167227,-0.005189272,-0.002155558,-0.003309204,6.81144499420198e-05,0.000195969093873417,7.24017518616967e-05,7.10263195575548e-05
2014-01-10,0.00967064,0.006998858,0.00260087,-0.001776337,0.000916026,2.84786586388406e-05,2.98681569785916e-05,-6.05124970461456e-05,9.68141563371893e-05
2014-01-13,-0.015142062,0.013384641,-0.00080922,-0.003250639,0.002550838,4.21867651967632e-05,9.8493240613863e-05,7.71691605336338e-05,8.96983852024974e-05
2014-01-14,0.019657688,0.003601882,-0.009181983,0.005341793,-0.00591448,-4.7894601935932e-05,7.06634235466785e-05,5.54351225657257e-05,1.95354433994104e-05
2014-01-15,-0.004765526,3.87e-05,0.001510785,-0.00464707,0.001420774,-3.15248741091913e-05,-8.7438447364883e-05,-8.59303045538506e-05,-6.00110662835468e-05
2014-01-16,-0.004713489,0.006374689,-0.000845531,0.000189666,-0.003997849,-5.01125593481803e-05,-0.000119744728916664,-0.000150164675737874,-7.43601054392231e-05
2014-01-17,0.002681416,0.003439433,-0.003829596,-0.003621453,-2.34e-06,9.55811685537579e-06,1.49277113773896e-05,0.00012811810204976,1.95854189753027e-05
2014-01-20,-0.002160919,-0.004109705,-0.000111729,-0.00599948,0.000350231,9.10194586346869e-05,0.000102856243696841,2.18096014565756e-05,0.00011096980622016
2014-01-21,0.014432731,-0.008269858,-2.34e-07,0.00152689,-0.005086173,0.000107778251452639,9.0961740793129e-05,4.58161894355899e-05,0.000109990142727917
2014-01-22,0.00470644,-0.000574039,0.001485428,0.012270155,0.001756099,-4.77121737725722e-05,1.8820075189293e-05,6.49191891069277e-05,2.52860893846909e-05
2014-01-23,-0.020298467,0.010720438,-0.001688645,0.001429909,0.002014197,-0.000105685349256092,-0.000187291568134967,-6.64791984330067e-05,-0.000128970142919553
2014-01-24,-0.01327286,0.00571138,0.002993264,-0.0024589,0.002976088,-6.6790163253668e-05,-0.00013673813146156,7.78430746001428e-05,-8.93599053979033e-05
2014-01-27,-0.000586057,0.008027114,0.001389253,0.001831243,0.004792214,4.2436750892523e-05,-9.09224602384021e-06,3.72842190481639e-05,4.67721172790723e-05
2014-01-28,-0.006467372,0.00328436,-0.00179507,-0.002885471,-0.004121743,-5.74992947417601e-05,6.55125636723702e-06,-3.84732284727309e-05,4.73917482961072e-07
2014-01-29,0.008424619,-0.008306793,0.001174094,0.0029189,0.00426214,3.65050121688321e-05,1.32747460467407e-05,-9.16589612011344e-06,-8.73003057806033e-07
2014-01-30,0.015244507,-0.004717826,-0.002112423,-0.000534456,0.000738521,5.99565341665374e-05,0.000161720537897977,8.81660707556435e-05,0.000107083485938926
2014-01-31,-0.012899109,0.014130936,0.000548432,0.000129872,0.001658988,-8.73911591982065e-05,-0.000119283353950794,-5.79440277076128e-05,-6.08478200439773e-05
2014-02-03,0.002676737,0.000528729,-0.002263013,0.004648689,-0.003881687,-2.30284373629629e-05,-3.78220442897757e-06,-8.97701501463415e-06,-6.09472615856234e-05
2014-02-04,0.012604259,-0.001773833,-0.005010988,0.006138704,0.005111373,-6.76979867740045e-05,4.9554215594792e-05,-5.33381198891058e-05,5.77997359556581e-05
2014-02-05,0.000719162,-0.001822624,-0.001567261,-0.002387046,0.00132493,6.88168568113682e-05,-8.14524521199008e-06,3.20719811903518e-05,-4.16933837431663e-06
2014-02-06,-0.004923186,0.004618179,0.003270354,0.001820957,0.004031625,-4.99893671800821e-05,-1.55237728653093e-05,2.76265739558851e-05,-1.86333032771542e-05
2014-02-07,0.005843264,-0.001019105,0.004420558,-0.00229419,-0.000219139,2.79834326529417e-05,6.83808851684298e-05,-4.91557320834467e-05,1.88927279560312e-05
2014-02-10,0.01391647,-0.00617103,-0.004707683,0.000471496,0.006248831,1.45934636238452e-05,8.06944282529116e-05,8.39991556923401e-06,5.22938483961753e-05
2014-02-11,-0.001623373,0.001594887,0.004804102,0.000277202,0.007838759,-0.000106221738095324,-8.36152622268351e-05,5.10515250742619e-05,-0.000102456257046348
2014-02-12,0.015943169,-0.007197541,-0.007259482,0.00297234,-0.000848408,8.56373350620489e-05,9.99449928316748e-05,-5.43191862003926e-05,5.40126468169653e-05
2014-02-13,-0.005262165,-5.28e-05,0.002847505,0.000450139,0.002550602,-6.91884364376337e-05,-0.000112160318477033,0.000109403344294565,-1.64574088720311e-05
2014-02-17,-0.004342103,0.004765264,0.004168503,0.0047095,-0.002220605,4.95872892507866e-05,5.05551285672749e-05,2.08563777028133e-05,4.42775831543917e-05
2014-02-18,-0.013322943,0.00647124,0.000541612,-0.001064236,0.003844655,-9.76354501351475e-05,-6.09440679823588e-05,-6.42847506592508e-06,-6.08123141669793e-05
2014-02-19,0.000528641,0.002232585,0.00115304,-0.002684677,-0.000580156,-2.91382338786317e-05,-1.19193974465623e-05,-0.000131485033473874,-5.53935341296607e-05
2014-02-20,-0.002601185,-0.003386498,0.005769642,0.00052071,-0.00110092,4.60483974492454e-05,2.35232520520518e-05,6.20341262498562e-05,9.11411207640036e-05
2014-02-21,0.00234645,0.003582973,-0.001250629,-0.002989082,0.000430646,5.05907819957934e-05,2.29539813131452e-05,5.62262078279237e-05,3.39395912817314e-05
2014-02-24,0.000642792,0.00027886,-0.001140943,-0.004219743,-0.00165607,1.89654448954674e-05,5.71299733407271e-06,-4.06650521077222e-05,9.34643945425262e-07
2014-02-25,0.01046695,-0.010549597,-0.005151967,-0.001489348,-0.004752974,8.51529051476898e-05,0.000142322928420643,6.02746473826191e-05,0.000135354672820174
2014-02-26,0.006265108,0.001586494,-0.001370573,-0.000973072,-0.006094431,1.44515954198287e-05,4.47067022158783e-05,2.84484949959407e-05,1.58679889979992e-05
