,Instrument,ESG Score,Date,Environmental Pillar Score,Governance Pillar Score,Social Pillar Score,Carbon Credit,Carbon Offsets/Credits,Internal Carbon Price per Tonne Score Score,Women Managers,Women Employees,Gender Pay Gap Percentage,Water Recycled,Water Recycled Score,Energy Use Total,Policy Energy Efficiency,Waste Total,Waste Recycled Total
0,24CSm.BK,,,,,,,,,,,,,,,,,
1,24CSmf.BK,,,,,,,,,,,,,,,,,
2,24CSmol.BK,,,,,,,,,,,,,,,,,
3,24CSmva.BK,,,,,,,,,,,,,,,,,
4,2S.BK,,,,,,,,,,,,,,,,,
5,2Sf.BK,,,,,,,,,,,,,,,,,
6,2Sol.BK,,,,,,,,,,,,,,,,,
7,2Sva.BK,,,,,,,,,,,,,,,,,
8,3BBIFu.BK,,,,,,,,,,,,,,,,,
9,3BBIFuol.BK,,,,,,,,,,,,,,,,,
10,3BBIFuss.BK,,,,,,,,,,,,,,,,,
11,3BBIFuva.BK,,,,,,,,,,,,,,,,,
12,3K-BAT.BK,,,,,,,,,,,,,,,,,
13,3K-BATol.BK,,,,,,,,,,,,,,,,,
14,3K-BATva.BK,,,,,,,,,,,,,,,,,
15,3K-BATz.BK,,,,,,,,,,,,,,,,,
16,7UP.BK,,,,,,,,,,,,,,,,,
17,7UPf.BK,,,,,,,,,,,,,,,,,
18,7UPol.BK,,,,,,,,,,,,,,,,,
19,7UPss.BK,,,,,,,,,,,,,,,,,
20,7UPva.BK,,,,,,,,,,,,,,,,,
21,A.BK,,,,,,,,,,,,,,,,,
22,A5m.BK,,,,,,,,,,,,,,,,,
23,A5mf.BK,,,,,,,,,,,,,,,,,
24,A5mol.BK,,,,,,,,,,,,,,,,,
25,A5mva.BK,,,,,,,,,,,,,,,,,
26,AAI.BK,,,,,,,,,,,,,,,,,
27,AAIf.BK,,,,,,,,,,,,,,,,,
28,AAIol.BK,,,,,,,,,,,,,,,,,
29,AAIss.BK,,,,,,,,,,,,,,,,,
30,AAIva.BK,,,,,,,,,,,,,,,,,
31,AAV.BK,16.0746595806109,2019-12-31,11.768851303735,19.7772906009674,16.7768348830911,,,,,,,,,9941.281,False,474.386,125.238
32,AAV.BK,25.2113254586377,2020-12-31,21.3954765041722,35.3030303030303,21.2076696888018,,,,,36.985,55.0,,,8146.49,False,218.349,119.069
33,AAV.BK,28.343299471037,2021-12-31,33.3522727272727,23.381818938519,27.9708081167675,,,,26.61,35.68,52.0,,,6923.03,False,38.777,32.275
34,AAV.BK,39.8084986227359,2022-12-31,48.3851116204057,26.6363636363636,42.3474228642768,,,,15.18,36.3,52.0,,,6367.428,False,105.514,100.359
35,AAVf.BK,16.0746595806109,2019-12-31,11.768851303735,19.7772906009674,16.7768348830911,,,,,,,,,9941.281,False,474.386,125.238
36,AAVf.BK,25.2113254586377,2020-12-31,21.3954765041722,35.3030303030303,21.2076696888018,,,,,36.985,55.0,,,8146.49,False,218.349,119.069
37,AAVf.BK,28.343299471037,2021-12-31,33.3522727272727,23.381818938519,27.9708081167675,,,,26.61,35.68,52.0,,,6923.03,False,38.777,32.275
38,AAVf.BK,39.8084986227359,2022-12-31,48.3851116204057,26.6363636363636,42.3474228642768,,,,15.18,36.3,52.0,,,6367.428,False,105.514,100.359
39,AAVol.BK,16.0746595806109,2019-12-31,11.768851303735,19.7772906009674,16.7768348830911,,,,,,,,,9941.281,False,474.386,125.238
40,AAVol.BK,25.2113254586377,2020-12-31,21.3954765041722,35.3030303030303,21.2076696888018,,,,,36.985,55.0,,,8146.49,False,218.349,119.069
41,AAVol.BK,28.343299471037,2021-12-31,33.3522727272727,23.381818938519,27.9708081167675,,,,26.61,35.68,52.0,,,6923.03,False,38.777,32.275
42,AAVol.BK,39.8084986227359,2022-12-31,48.3851116204057,26.6363636363636,42.3474228642768,,,,15.18,36.3,52.0,,,6367.428,False,105.514,100.359
43,AAVss.BK,16.0746595806109,2019-12-31,11.768851303735,19.7772906009674,16.7768348830911,,,,,,,,,9941.281,False,474.386,125.238
44,AAVss.BK,25.2113254586377,2020-12-31,21.3954765041722,35.3030303030303,21.2076696888018,,,,,36.985,55.0,,,8146.49,False,218.349,119.069
45,AAVss.BK,28.343299471037,2021-12-31,33.3522727272727,23.381818938519,27.9708081167675,,,,26.61,35.68,52.0,,,6923.03,False,38.777,32.275
46,AAVss.BK,39.8084986227359,2022-12-31,48.3851116204057,26.6363636363636,42.3474228642768,,,,15.18,36.3,52.0,,,6367.428,False,105.514,100.359
47,AAVva.BK,16.0746595806109,2019-12-31,11.768851303735,19.7772906009674,16.7768348830911,,,,,,,,,9941.281,False,474.386,125.238
48,AAVva.BK,25.2113254586377,2020-12-31,21.3954765041722,35.3030303030303,21.2076696888018,,,,,36.985,55.0,,,8146.49,False,218.349,119.069
49,AAVva.BK,28.343299471037,2021-12-31,33.3522727272727,23.381818938519,27.9708081167675,,,,26.61,35.68,52.0,,,6923.03,False,38.777,32.275
