,Annualized return,Annualized volatility,Sharpe ratio
31/1/2022,0.033231305,0.192068345,0.1631692
28/2/2022,0.048358717,0.126138402,0.368381475
31/3/2022,0.054328503,0.380646413,0.137757338
30/4/2022,0.052710079,0.394956945,0.128668234
31/5/2022,0.012502737,0.171567233,0.061847886
30/6/2022,0.015594848,0.172976995,0.079219675
31/7/2022,0.034504028,0.158936928,0.205190585
31/8/2022,0.044830552,0.220361362,0.194856691
30/9/2022,0.044095936,0.273260064,0.154447265
31/10/2022,0.028194429,0.15970087,0.164700184
30/11/2022,0.040874208,0.221587062,0.175924268
31/12/2022,0.046377251,0.307685292,0.144581444
,0.037966883,0.231657159,0.164895354
