,Annualized return,Annualized volatility,Sharpe ratio
31/1/2022,0.020260883,0.184576038,0.099521135
28/2/2022,0.006754312,0.14761689,0.032940985
31/3/2022,0.023489168,0.30700309,0.070349461
30/4/2022,0.007585446,0.191936735,0.029664875
31/5/2022,0.01459522,0.27765755,0.045752593
30/6/2022,0.007340898,0.198806196,0.027409766
31/7/2022,0.012480412,0.196071632,0.054004472
31/8/2022,0.023327826,0.317547941,0.06750527
30/9/2022,0.028812065,0.296401049,0.090824234
31/10/2022,0.031210474,0.210344371,0.139384796
30/11/2022,0.004744915,0.199843836,0.014277391
31/12/2022,0.016157994,0.281890273,0.050609506
,0.016396634,0.2341413,0.06018704
