,MINT.BK,BANPU.BK,TOP.BK,DELTA.BK,IRPC.BK,PTTGC.BK,WHA.BK,SCC.BK,CPN.BK,CENTEL.BK,PTT.BK,BCP.BK
2022-01-31,0.07338,0.14602,0.0,0.44804,0.02609,0.0,0.07063,0.10817,0.0,0.0,0.0,0.12766
2022-02-28,0.04505,0.11781,0.10511,0.0,0.05559,0.11027,0.1167,0.00552,0.18075,0.04446,0.11764,0.10111
2022-03-31,0.0,0.05116,0.0,0.77646,0.0,0.0,0.04429,0.12809,0.0,0.0,0.0,0.0
2022-04-30,0.0,0.09066,0.0,0.79957,0.0,0.0,0.0,0.08019,0.0,0.0,0.0,0.02957
2022-05-31,0.0,0.2839,0.16663,0.0,0.0,0.12202,0.1885,0.08134,0.0,0.03103,0.12657,0.0
2022-06-30,0.10494,0.0,0.05842,0.0,0.0,0.09676,0.46022,0.00194,0.0,0.06184,0.05389,0.16199
2022-07-31,0.07939,0.0,0.0,0.0,0.0,0.08432,0.0886,0.06578,0.28353,0.16112,0.12061,0.11665
2022-08-31,0.0,0.49504,0.03853,0.0,0.23331,0.0,0.0,0.00639,0.0,0.0,0.10866,0.11808
2022-09-30,0.0,0.54227,0.0,0.29774,0.11748,0.0,0.0,0.04251,0.0,0.0,0.0,0.0
2022-10-31,0.03745,0.24643,0.08991,0.0,0.09577,0.07874,0.09078,0.14043,0.0,0.03046,0.13946,0.05058
2022-11-30,0.0,0.66719,0.0,0.0,0.15706,0.0,0.0,0.17575,0.0,0.0,0.0,0.0
2022-12-31,0.0,0.35449,0.0,0.4242,0.08812,0.0,0.0,0.10907,0.0,0.0,0.02413,0.0
