,MINT.BK,BANPU.BK,TOP.BK,DELTA.BK,IRPC.BK,PTTGC.BK,WHA.BK,SCC.BK,CPN.BK,CENTEL.BK,PTT.BK,BCP.BK
2022-01-31,0.01426,0.26377,0.0,0.29078,0.05437,0.0,0.10831,0.0,0.0,0.0,0.04135,0.22717
2022-02-28,0.0,0.22784,0.10864,0.0,0.0,0.0,0.24273,0.0,0.35782,0.06298,0.0,0.0
2022-03-31,0.03621,0.0531,0.0,0.56214,0.09231,0.0,0.24116,0.0,0.0,0.0,0.01509,0.0
2022-04-30,0.0,0.14015,0.0,0.14539,0.0,0.0,0.32973,0.0,0.0,0.0,0.0,0.38473
2022-05-31,0.0,0.78639,0.07141,0.0,0.0,0.0,0.0,0.0,0.0,0.14221,0.0,0.0
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.75762,0.0,0.0,0.0,0.0,0.24238
2022-07-31,0.0,0.0,0.0,0.0,0.0,0.08738,0.0,0.37537,0.0,0.53724,0.0,0.0
2022-08-31,0.06058,0.13849,0.0,0.46109,0.0,0.0,0.10843,0.0,0.0,0.0,0.0,0.23141
2022-09-30,0.20844,0.27211,0.0,0.40254,0.07512,0.0,0.0,0.0,0.0,0.0,0.0418,0.0
2022-10-31,0.5349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07571,0.1318,0.0,0.25759
2022-11-30,0.0,0.43827,0.0,0.0,0.22152,0.25798,0.0,0.0,0.0,0.0,0.08223,0.0
2022-12-31,0.0,0.17405,0.0,0.38691,0.0,0.1676,0.15188,0.03577,0.0,0.0,0.08378,0.0
